﻿Title:,"Table 1 - Graduate activities by provider and sex"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Sex,All 
,Interim study,Include significant interim study 
,Academic year,2022/23 
Search:,


"UKPRN","Provider Name","Full-time employment","Part-time employment","Unknown pattern of employment","Voluntary or unpaid work","Employmentand further study","Full-time further study","Part-time further study","Unknown pattern of further study","Other including travel, caring for someone or retired","Unemployed","Total with known outcomes","Non-respondents","Total"
"10007761","Courtauld Institute of Art","70","20","0","0","10","15","0","0","5","10","135","195","330"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","15","15"
"10003010","Coventry College","5","0","0","0","5","0","0","0","0","0","10","15","20"
"10001726","Coventry University","2,865","470","30","50","440","175","30","0","255","440","4,750","9,935","14,685"
"10007822","Cranfield University","720","30","10","5","65","25","5","0","30","30","915","1,690","2,605"
"10001743","Craven College","15","5","0","0","0","0","0","0","0","0","25","25","50"
"10006427","University for the Creative Arts","380","220","5","15","60","25","5","0","70","75","860","1,545","2,405"
"10001696","Cornwall College","70","25","0","5","15","5","0","0","15","10","145","180","330"
"10001778","Croydon College","10","0","0","0","5","5","0","0","5","5","35","35","70"
"10007842","University of Cumbria","1,095","185","10","10","150","15","0","0","90","45","1,610","1,715","3,320"
"10026767","Dartington Hall Trust (The)","10","15","0","0","0","0","0","0","0","0","30","40","70"
"10015688","David Game College Ltd","60","25","0","0","10","0","0","0","20","5","125","90","220"
"10001883","De Montfort University","2,025","370","30","35","300","135","10","0","185","260","3,355","5,520","8,870"
"10001919","DCG","45","10","0","5","15","0","0","0","5","5","85","120","205"
"10007851","University of Derby","1,990","420","20","35","380","110","10","0","205","140","3,310","3,750","7,060"
"10004695","DN Colleges Group","190","50","0","0","40","10","0","0","30","10","340","420","765"
"10007924","Dudley College of Technology","20","10","0","0","5","5","0","0","5","5","50","40","90"
"10007852","The University of Dundee","1,540","285","20","20","250","135","10","0","130","135","2,535","3,020","5,555"
"10007143","University of Durham","1,610","185","15","45","330","400","20","0","200","190","2,990","5,080","8,070"
"10007789","The University of East Anglia","1,780","285","15","40","315","195","10","0","150","195","2,995","3,255","6,250"
"10007144","The University of East London","1,110","370","30","25","255","95","20","5","175","170","2,255","5,125","7,380"
"10032282","The Queen's Foundation for Ecumenical Theological Education","5","0","0","0","0","0","0","0","0","0","10","5","20"
"10007823","Edge Hill University","1,375","245","15","25","225","90","10","0","120","70","2,165","2,115","4,280"
"10007772","Edinburgh Napier University","1,200","200","10","20","180","40","0","0","100","100","1,845","2,895","4,740"
"10007790","The University of Edinburgh","2,310","310","25","30","345","285","10","0","175","175","3,665","8,735","12,400"
"10006570","EKC GROUP","20","5","0","0","5","0","0","0","0","0","30","30","60"
"10022047","Empire College London Limited","30","15","0","0","5","5","5","0","15","10","90","35","120"
"10007791","The University of Essex","1,265","355","20","40","365","160","15","0","145","205","2,565","4,485","7,045"
"10008173","University College of Estate Management","325","10","0","0","35","0","0","0","15","5","390","345","740"
"10002130","East Surrey College","35","5","0","0","5","0","0","0","0","0","50","55","110"
"10002923","East Sussex College Group","35","25","5","0","10","5","0","0","15","5","105","120","225"
"10002313","ESCP Europe Business School","10","0","0","0","0","0","0","0","0","0","10","15","25"
"10002370","Exeter College","40","10","0","0","5","5","0","0","10","5","80","55","130"
"10007792","The University of Exeter","2,430","300","20","35","455","285","15","5","195","205","3,935","6,575","10,510"
"10008640","Falmouth University","570","340","5","25","95","15","5","0","75","70","1,195","975","2,170"
"10007928","Fareham College","30","5","0","0","5","0","0","0","0","0","40","45","85"
"10002412","Farnborough College of Technology","45","15","0","5","20","5","0","0","10","5","100","75","175"
"10045476","Met Film School Limited","60","40","5","5","5","0","0","0","5","10","130","175","305"
"10004511","The National Film and Television School","115","40","5","0","5","0","0","0","5","15","190","105","295"
"10002599","Furness College","55","0","0","0","5","0","0","0","0","0","65","55","120"
"10022087","Futureworks","25","20","0","0","5","0","0","0","5","5","55","60","115"
"10002638","Gateshead College","20","15","0","0","20","5","0","0","5","5","75","80","150"
"10042500","Global Banking School Limited","145","70","5","5","40","10","5","0","70","35","385","385","770"
"10007762","Glasgow Caledonian University","1,680","255","20","20","235","50","5","0","130","90","2,485","3,735","6,215"
"10002681","Glasgow School of Art","130","85","5","5","30","15","0","0","25","20","315","595","910"
"10007794","The University of Glasgow","1,365","220","10","25","280","185","5","0","125","115","2,325","2,735","5,065"
"10002696","Gloucestershire College","40","15","0","0","15","5","0","0","5","15","90","110","205"
"10007145","University of Gloucestershire","920","225","5","10","150","50","5","0","90","65","1,510","1,285","2,795"
"10007833","Glyndŵr University","430","100","10","10","80","10","5","0","75","50","770","1,100","1,875"
"10002718","Goldsmiths College","680","240","20","25","115","40","10","0","75","95","1,290","2,555","3,850"
"10002743","Grantham College","5","5","0","0","5","0","0","0","5","0","20","15","40"
"10007938","TEC Partnership","125","50","5","5","20","15","5","0","15","20","250","250","500"
"10007146","The University of Greenwich","1,550","310","30","30","250","90","10","0","175","285","2,730","5,650","8,380"
"10007825","Guildhall School of Music and Drama","80","60","5","0","20","10","0","0","5","5","185","190","375"
"10002852","Halesowen College","15","10","0","0","5","5","0","0","5","10","45","35","80"
"10002094","Ealing, Hammersmith & West London College","0","5","0","0","0","0","0","0","0","0","10","0","10"
"10040812","Harper Adams University","390","45","0","5","40","10","0","0","20","5","510","285","795"
"10080811","Hartpury University","215","55","0","10","45","20","5","0","20","20","380","350","735"
"10005979","Havant and South Downs College","0","0","0","0","0","0","0","0","0","0","0","30","30"
"10007193","HCUC","30","25","0","0","10","10","0","0","15","20","110","130","240"
"10007289","Heart of Yorkshire Education Group","60","30","0","0","15","0","0","0","10","15","130","195","330"
"10003023","Herefordshire, Ludlow and North Shropshire College","20","5","0","0","5","0","0","0","0","0","30","20","50"
"10003022","Hereford College of Arts","30","20","0","0","5","0","0","0","5","5","70","35","105"
"10007764","Heriot-Watt University","630","80","5","10","100","55","5","0","45","85","1,015","3,230","4,245"
"10003035","Hertford Regional College","10","10","0","0","5","0","0","0","0","5","30","20","50"
"10007147","University of Hertfordshire","2,130","430","40","30","325","85","25","0","205","285","3,555","8,080","11,635"
"10003128","Holy Cross College","20","5","0","0","5","5","0","0","0","0","30","20","50"
"10003146","Hopwood Hall College","15","10","0","0","5","0","0","0","5","5","35","25","60"
"10007977","Heart of Worcestershire College","80","10","0","0","5","0","0","0","5","5","105","160","265"
"10007148","The University of Huddersfield","1,365","315","20","25","230","115","10","0","170","200","2,455","2,920","5,375"
"10003193","Hugh Baird College","30","15","0","0","10","5","0","0","20","10","90","120","210"
"10003200","Hull College","30","10","0","0","5","0","0","0","10","5","65","75","140"
"10007149","The University of Hull","1,220","230","10","35","245","145","10","5","155","105","2,160","3,180","5,340"
"10003239","ICON College of Technology and Management","155","40","0","0","35","10","0","0","50","25","320","295","615"
"10003270","Imperial College of Science, Technology and Medicine","1,885","95","10","5","255","335","5","0","95","105","2,795","5,930","8,725"
"10003284","Inchbald School of Design Limited","0","0","0","0","0","0","0","0","0","0","0","5","10"
"10013220","Institute of Art - London Limited","20","5","0","0","5","0","0","0","0","0","30","95","120"
"10067388","The Institute of Ismaili Studies","5","0","0","0","0","0","0","0","0","0","10","25","35"
"10035638","Institute of Contemporary Music Performance","50","75","0","5","25","5","0","0","10","5","180","225","405"
"10082728","INTO University Partnerships Limited","0","0","0","0","0","0","0","0","0","0","5","55","60"
"10029682","The Islamic College","0","0","0","0","0","0","0","0","0","5","5","10","15"
"10067601","JSA Education Group Ltd.","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10082570","Kaplan International Colleges U.K. Limited","5","5","0","0","5","10","0","0","10","15","50","785","835"
